"organization","isin","bbid","ticker","hq_country","importance_of_water_quality_and_quantity_direct_indirect_use","importance_of_water_quality_and_quantity_importance_rating","importance_of_water_quality_and_quantity_explanation","evaluated_how_water_could_affect_growth_strategy","experienced_detrimental_impacts_related_to_water_this_year","procedures_to_assess_water_risk","geographic_scale_of_assessments","methods_used_to_assess_water_risks","do_you_require_your_key_suppliers_to_report_on_their_water_use_risks_and_management","organization_exposed_to_water_risk","does_water_present_opportunities","highest_level_of_direct_responsibility_for_water","is_water_integrated_into_business_strategy","does_your_organization_have_a_water_policy","subject_to_penalties_and_or_fines","target_and_or_goals"
"Allergan, Inc.","US0184901025","EQ0010003800001000","AGN US","USA",,,,,,,,"WBCSD Global Water Tool",,,,,,,,
"Allergan, Inc.","US0184901025","EQ0010003800001000","AGN US","USA",,,,,,,,"WRI water stress definition",,,,,,,,
"Allergan, Inc.","US0184901025","EQ0010003800001000","AGN US","USA",,,,,,,,"Other: CEO Water Mandate Tools and Water Action Hub",,,,,,,,
"Alliance One International Inc.",,,,"USA",,,,"Yes, evaluated over the next 10 years","No","Water risks are not assessed",,,"No","Yes, supply chain only","No",,"Yes","Other: Water use reduction targets","No","Yes, targets only"
"Alliance One International Inc.",,,,"USA","Direct use: sufficient amounts of good quality freshwater available for use across your own operations","Neutral","Our requirement for direct use of good quality freshwater relates primarily to employee use for drinking, hygiene and restrooms.",,,,,,,,,"Senior Manager/Officer",,,,
"Alliance One International Inc.",,,,"USA","Direct use: sufficient amounts of recycled, brackish and/or produced water available for use across your own operations","Neutral","Our requirement for direct use of lesser quality water relates to factory requirements for boilers that create steam for processing our products.",,,,,,,,,,,,,
"Alliance One International Inc.",,,,"USA","Indirect use: sufficient amounts of good quality freshwater available for use across your value chain","Neutral","Our requirement for freshwater in our value chain relates primarily to domestic use for our farmers and farm workers for drinking and hygiene",,,,,,,,,,,,,
"Allied Electronics Corporation Ltd (Altron)","ZAE000029658","EQ0000000037590295",,"South Africa","Direct use: sufficient amounts of good quality freshwater available for use across your own operations","Important","Drinking water, sanitation, cleaning and water used in production.",,,,"Country","UNEP Vital Water Graphics",,,,"Individual/Sub-set of the Board or other committee appointed by the Board",,,,
"Allied Electronics Corporation Ltd (Altron)","ZAE000029658","EQ0000000037590295",,"South Africa","Direct use: sufficient amounts of recycled, brackish and/or produced water available for use across your own operations","Not very important","Recycled water is only used on a small scale at some of the production plants where process water is re-used.",,,,,"Internal company knowledge",,,,,,,,
"Allied Electronics Corporation Ltd (Altron)","ZAE000029658","EQ0000000037590295",,"South Africa","Indirect use: sufficient amounts of good quality freshwater available for use across your value chain","Not very important","Fresh water is mainly used in offices.",,,,,"Other: Environmental Assessments",,,,,,,,
"Allied Electronics Corporation Ltd (Altron)","ZAE000029658","EQ0000000037590295",,"South Africa","Indirect use: sufficient amounts of recycled, brackish and/or produced water available for use across your value chain","Not very important","Recycled water is only used in small scale across Altron's value chain.",,,,,,,,,,,,,
"Alpha Networks",,,,"Taiwan",,,,"Not evaluated","No","Water risks are not assessed",,,"No","No","No",,"No","No","No","No"
"Alpha Networks",,,,"Taiwan","Direct use: sufficient amounts of good quality freshwater available for use across your own operations","Have not evaluated"," Product production without water",,,,,,,,,,,,,
"Alpha Networks",,,,"Taiwan","Direct use: sufficient amounts of recycled, brackish and/or produced water available for use across your own operations","Have not evaluated","Product production without water",,,,,,,,,,,,,
"Alpha Networks",,,,"Taiwan","Indirect use: sufficient amounts of good quality freshwater available for use across your value chain","Have not evaluated","Product production without water",,,,,,,,,,,,,
"Alpha Networks",,,,"Taiwan","Indirect use: sufficient amounts of recycled, brackish and/or produced water available for use across your value chain","Have not evaluated","Product production without water",,,,,,,,,,,,,
"ALPHA NOVATECH",,,,"USA",,,,,,,,,,,,,,,,
"ALPHA NOVATECH",,,,"USA","Direct use: sufficient amounts of good quality freshwater available for use across your own operations",,,,,,,,,,,,,,,
"ALPHA NOVATECH",,,,"USA","Direct use: sufficient amounts of recycled, brackish and/or produced water available for use across your own operations",,,,,,,,,,,,,,,
"ALPHA NOVATECH",,,,"USA","Indirect use: sufficient amounts of good quality freshwater available for use across your value chain",,,,,,,,,,,,,,,
"ALPHA NOVATECH",,,,"USA","Indirect use: sufficient amounts of recycled, brackish and/or produced water available for use across your value chain",,,,,,,,,,,,,,,
"ALPLA",,,,"Austria",,,,"Yes, evaluated over the next 5 years","No","Water is integrated into a comprehensive, company-wide risk assessment process incorporating direct operations only",,,"No","Yes, supply chain only","No",,"Yes","No","No","Yes, targets and goals"
"ALPLA",,,,"Austria","Direct use: sufficient amounts of good quality freshwater available for use across your own operations","Important","Water is primarily used in the production process (e.g. cooling), as well as for the office area (e.g. sanitary facilities) or in the public spaces of the ALPLA production sites. 
ALPLA is cleaning and treating the water before and after usage. Good quality freshwater is prefered, because the better the water quality the easier the water treatment is. ALPLA plants require water that offers special parameters of quality (PH value, conductivity, hardness, etc...)",,,,"Facility","Internal company knowledge",,,,"Individual/Sub-set of the Board or other committee appointed by the Board",,,,
"HARVEST LAND CO-OP, INC.",,,,"USA",,,,,,,,,,,,,,,,
"ALPLA",,,,"Austria","Direct use: sufficient amounts of recycled, brackish and/or produced water available for use across your own operations","Important","The water needed is largely drawn from the public mains as well as from springs on the premises of various production locations. 
ALPLA is working with freshwater but before using it, it gets cleaned and treated in our own system. ALPLA plants require water that offers special parameters of quality (PH value, conductivity, hardness, etc...)",,,,,,,,,,,,,
"ALPLA",,,,"Austria","Indirect use: sufficient amounts of good quality freshwater available for use across your value chain","Neutral","The production process of plastic is not very water intensive. Whereby the process for recycling plastics is very water intensive. Good quality freshwater must not be used for the recycling process. Industrie waters sufficient.",,,,,,,,,,,,,
"ALPLA",,,,"Austria","Indirect use: sufficient amounts of recycled, brackish and/or produced water available for use across your value chain","Vital for operations","For the process of recycling the plastic it is essential for the production to work with recycled, brackish or produced water. The water is needed for cleaning and separation of the material.",,,,,,,,,,,,,
"Alps Electric Co., Ltd.","JP3126400005","EQ0011330000001000","6770 JP","Japan",,,,"Not evaluated","No","Water risks are not assessed",,,"No","No","No",,"No","Yes, a publicly available company-wide water policy","No","Yes, targets only"
"Applied Materials Inc.","US0382221051","EQ0010203200001000","AMAT US","USA","Direct use: sufficient amounts of good quality freshwater available for use across your own operations","Important",,,,,,,,,,"Senior Manager/Officer",,,,
"Alps Electric Co., Ltd.","JP3126400005","EQ0011330000001000","6770 JP","Japan","Direct use: sufficient amounts of good quality freshwater available for use across your own operations","Important","Ensuring good quality water is important in the thin film process and plating process of some plants. However, use of water other than the use of employees is small in the assembly process.
一部の工場のメッキ工程や薄膜プロセスでは良質な水の確保は重要である。しかし、組み立て工程では従業員の利用以外の水の用途は少ない。",,,,,,,,,"Individual/Sub-set of the Board or other committee appointed by the Board",,,,
"Alps Electric Co., Ltd.","JP3126400005","EQ0011330000001000","6770 JP","Japan","Direct use: sufficient amounts of recycled, brackish and/or produced water available for use across your own operations","Not important at all",,,,,,,,,,,,,,
"Alps Electric Co., Ltd.","JP3126400005","EQ0011330000001000","6770 JP","Japan","Indirect use: sufficient amounts of good quality freshwater available for use across your value chain","Important",,,,,,,,,,,,,,
"Aluprint Plegadizos, S. de R.L. de C.V.",,,,"Mexico",,,,"Not evaluated","No","Water risks are not assessed",,,"No","Yes, direct operations and supply chain","No",,"No","No","No","No"
